station_id,station_name,district,constituency,total_registered,location_name,booth_count,capacity_per_hour
PS-001,Harbor Civic Hall,District-01,CONST-001,500,Fictional Sector 01,4,80
PS-002,Meadow Civic Hall,District-02,CONST-002,500,Fictional Sector 02,5,88
PS-003,Summit Civic Hall,District-03,CONST-003,500,Fictional Sector 03,3,96
PS-004,River Civic Hall,District-04,CONST-004,500,Fictional Sector 04,4,104
PS-005,Cedar Civic Hall,District-05,CONST-005,500,Fictional Sector 05,5,72
PS-006,Harbor Civic Hall,District-06,CONST-006,500,Fictional Sector 06,3,80
PS-007,Meadow Civic Hall,District-07,CONST-007,500,Fictional Sector 07,4,88
PS-008,Summit Civic Hall,District-08,CONST-008,500,Fictional Sector 08,5,96
PS-009,River Civic Hall,District-09,CONST-009,500,Fictional Sector 09,3,104
PS-010,Cedar Civic Hall,District-10,CONST-010,500,Fictional Sector 10,4,72
PS-011,Harbor Civic Hall,District-01,CONST-011,500,Fictional Sector 11,5,80
PS-012,Meadow Civic Hall,District-02,CONST-012,500,Fictional Sector 12,3,88
PS-013,Summit Civic Hall,District-03,CONST-013,500,Fictional Sector 13,4,96
PS-014,River Civic Hall,District-04,CONST-014,500,Fictional Sector 14,5,104
PS-015,Cedar Civic Hall,District-05,CONST-015,500,Fictional Sector 15,3,72
PS-016,Harbor Civic Hall,District-06,CONST-016,500,Fictional Sector 16,4,80
PS-017,Meadow Civic Hall,District-07,CONST-017,500,Fictional Sector 17,5,88
PS-018,Summit Civic Hall,District-08,CONST-018,500,Fictional Sector 18,3,96
PS-019,River Civic Hall,District-09,CONST-019,500,Fictional Sector 19,4,104
PS-020,Cedar Civic Hall,District-10,CONST-020,500,Fictional Sector 20,5,72
PS-021,Harbor Civic Hall,District-01,CONST-021,500,Fictional Sector 21,3,80
PS-022,Meadow Civic Hall,District-02,CONST-022,500,Fictional Sector 22,4,88
PS-023,Summit Civic Hall,District-03,CONST-023,500,Fictional Sector 23,5,96
PS-024,River Civic Hall,District-04,CONST-024,500,Fictional Sector 24,3,104
PS-025,Cedar Civic Hall,District-05,CONST-025,500,Fictional Sector 25,4,72
PS-026,Harbor Civic Hall,District-06,CONST-026,500,Fictional Sector 26,5,80
PS-027,Meadow Civic Hall,District-07,CONST-027,500,Fictional Sector 27,3,88
PS-028,Summit Civic Hall,District-08,CONST-028,500,Fictional Sector 28,4,96
PS-029,River Civic Hall,District-09,CONST-029,500,Fictional Sector 29,5,104
PS-030,Cedar Civic Hall,District-10,CONST-030,500,Fictional Sector 30,3,72
PS-031,Harbor Civic Hall,District-01,CONST-031,500,Fictional Sector 31,4,80
PS-032,Meadow Civic Hall,District-02,CONST-032,500,Fictional Sector 32,5,88
PS-033,Summit Civic Hall,District-03,CONST-033,500,Fictional Sector 33,3,96
PS-034,River Civic Hall,District-04,CONST-034,500,Fictional Sector 34,4,104
PS-035,Cedar Civic Hall,District-05,CONST-035,500,Fictional Sector 35,5,72
PS-036,Harbor Civic Hall,District-06,CONST-036,500,Fictional Sector 36,3,80
PS-037,Meadow Civic Hall,District-07,CONST-037,500,Fictional Sector 37,4,88
PS-038,Summit Civic Hall,District-08,CONST-038,500,Fictional Sector 38,5,96
PS-039,River Civic Hall,District-09,CONST-039,500,Fictional Sector 39,3,104
PS-040,Cedar Civic Hall,District-10,CONST-040,500,Fictional Sector 40,4,72
PS-041,Harbor Civic Hall,District-01,CONST-041,500,Fictional Sector 41,5,80
PS-042,Meadow Civic Hall,District-02,CONST-042,500,Fictional Sector 42,3,88
PS-043,Summit Civic Hall,District-03,CONST-043,500,Fictional Sector 43,4,96
PS-044,River Civic Hall,District-04,CONST-044,500,Fictional Sector 44,5,104
PS-045,Cedar Civic Hall,District-05,CONST-045,500,Fictional Sector 45,3,72
PS-046,Harbor Civic Hall,District-06,CONST-046,500,Fictional Sector 46,4,80
PS-047,Meadow Civic Hall,District-07,CONST-047,500,Fictional Sector 47,5,88
PS-048,Summit Civic Hall,District-08,CONST-048,500,Fictional Sector 48,3,96
PS-049,River Civic Hall,District-09,CONST-049,500,Fictional Sector 49,4,104
PS-050,Cedar Civic Hall,District-10,CONST-050,500,Fictional Sector 50,5,72
