event_id,voter_id,polling_station_id,event_type,event_timestamp,queue_time_minutes,processing_time_minutes,status
1,VOTER000001,PS-001,PROCESSING_COMPLETED,2026-01-15T08:44:00,7.93,7.48,COMPLETED
2,VOTER000002,PS-002,PROCESSING_COMPLETED,2026-01-15T17:16:00,10.94,6.77,COMPLETED
3,VOTER000003,PS-003,PROCESSING_COMPLETED,2026-01-15T07:06:00,1.92,3.48,COMPLETED
4,VOTER000004,PS-004,PROCESSING_COMPLETED,2026-01-15T08:44:00,9.94,9.78,COMPLETED
5,VOTER000006,PS-006,PROCESSING_COMPLETED,2026-01-15T13:10:00,6.82,9.05,COMPLETED
6,VOTER000008,PS-008,PROCESSING_COMPLETED,2026-01-15T13:03:00,9.66,4.57,COMPLETED
7,VOTER000009,PS-009,PROCESSING_COMPLETED,2026-01-15T09:47:00,11.63,9.21,COMPLETED
8,VOTER000011,PS-011,PROCESSING_COMPLETED,2026-01-15T12:22:00,10.84,11.37,COMPLETED
9,VOTER000015,PS-015,PROCESSING_COMPLETED,2026-01-15T11:17:00,4.51,4.27,COMPLETED
10,VOTER000018,PS-018,PROCESSING_COMPLETED,2026-01-15T16:12:00,12.48,9.13,COMPLETED
11,VOTER000019,PS-019,PROCESSING_COMPLETED,2026-01-15T12:14:00,16.19,3.68,COMPLETED
12,VOTER000020,PS-020,PROCESSING_COMPLETED,2026-01-15T16:05:00,6.82,5.88,COMPLETED
13,VOTER000021,PS-021,PROCESSING_COMPLETED,2026-01-15T10:36:00,11.46,3.99,COMPLETED
14,VOTER000022,PS-022,PROCESSING_COMPLETED,2026-01-15T15:49:00,6.48,3.75,COMPLETED
15,VOTER000023,PS-023,PROCESSING_COMPLETED,2026-01-15T17:02:00,13.69,6.2,COMPLETED
16,VOTER000024,PS-024,PROCESSING_COMPLETED,2026-01-15T08:12:00,15.3,3.14,COMPLETED
17,VOTER000025,PS-025,PROCESSING_COMPLETED,2026-01-15T16:44:00,15.03,9.95,COMPLETED
18,VOTER000027,PS-027,PROCESSING_COMPLETED,2026-01-15T08:40:00,7.58,2.24,COMPLETED
19,VOTER000028,PS-028,PROCESSING_COMPLETED,2026-01-15T14:12:00,10.08,8.24,COMPLETED
20,VOTER000031,PS-031,PROCESSING_COMPLETED,2026-01-15T13:28:00,7.21,6.29,COMPLETED
21,VOTER000032,PS-032,PROCESSING_COMPLETED,2026-01-15T16:29:00,6.16,2.13,COMPLETED
22,VOTER000033,PS-033,PROCESSING_COMPLETED,2026-01-15T16:15:00,8.69,6.62,COMPLETED
23,VOTER000034,PS-034,PROCESSING_COMPLETED,2026-01-15T16:03:00,0.2,6.58,COMPLETED
24,VOTER000035,PS-035,PROCESSING_COMPLETED,2026-01-15T13:53:00,16.01,7.78,COMPLETED
25,VOTER000036,PS-036,PROCESSING_COMPLETED,2026-01-15T15:55:00,3.54,7.34,COMPLETED
26,VOTER000037,PS-037,PROCESSING_COMPLETED,2026-01-15T12:07:00,3.43,7.98,COMPLETED
27,VOTER000038,PS-038,PROCESSING_COMPLETED,2026-01-15T08:15:00,22.39,5.72,COMPLETED
28,VOTER000042,PS-042,PROCESSING_COMPLETED,2026-01-15T10:28:00,3.12,3.46,COMPLETED
29,VOTER000043,PS-043,PROCESSING_COMPLETED,2026-01-15T08:34:00,15.13,3.2,COMPLETED
30,VOTER000044,PS-044,PROCESSING_COMPLETED,2026-01-15T11:28:00,9.19,2.41,COMPLETED
31,VOTER000045,PS-045,PROCESSING_COMPLETED,2026-01-15T09:32:00,16.12,9.54,COMPLETED
